# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	148898
#@/user_id	Mac
B zhan 	B站	c=1 d=1 t=103033
bie qu 	别去	c=2 d=1 t=84268
bie ren 	别人	c=84 d=1 t=146626
bie sheng qi 	别生气	c=1 d=1 t=123382
bie shu 	别墅	c=1 d=1 t=126457
bie wan 	别玩	c=2 d=1 t=70719
bie wan le 	别玩了	c=1 d=1 t=2928
bie yong 	别用	c=2 d=1 t=22931
bin 	膑	c=1 d=1 t=132586
bin jiang 	滨江	c=5 d=1 t=141760
bing 	兵	c=1 d=1 t=71535
bing 	冰	c=9 d=1 t=140622
bing 	病	c=3 d=1 t=62943
bing 	饼	c=9 d=2.94111 t=88986
bing bian 	病变	c=1 d=1 t=21835
bing bu 	并不	c=1 d=1 t=94347
bing bu shi 	并不是	c=1 d=1 t=142498
bing cheng 	秉承	c=1 d=1 t=137855
bing dao le 	病倒了	c=1 d=1 t=71796
bing de 	冰的	c=0 d=0.1 t=70663
bing de le 	冰的了	c=1 d=1 t=70664
bing fa 	并发	c=10 d=1 t=112627
bing fang 	病房	c=1 d=1 t=47822
bing jia 	冰甲	c=1 d=1 t=68159
bing jun 	病菌	c=1 d=1 t=74681
bing kuai 	冰块	c=1 d=1 t=18765
bing li 	病理	c=1 d=1 t=23816
bing mei you 	并没有	c=2 d=0.1 t=139318
bing mei you wo 	并没有我	c=1 d=1 t=139319
bing qi ling 	冰淇凌	c=1 d=1 t=113833
bing qie 	并且	c=20 d=1 t=138970
bing ru 	并入	c=1 d=1 t=100717
bing shui 	冰水	c=1 d=1 t=27661
bing xiang 	冰箱	c=8 d=1 t=134926
bing xue bao 	冰血暴	c=1 d=1 t=82297
bing yang zi 	病秧子	c=1 d=1 t=136233
bing yin 	病因	c=1 d=1 t=61362
bo 	博	c=2 d=1 t=106875
bo 	波	c=28 d=1 t=148449
bo 	薄	c=1 d=1 t=59556
bo 	铂	c=2 d=1.99501 t=53668
bo bo 	伯伯	c=6 d=1.98511 t=140277
bo fang 	播放	c=18 d=1 t=108231
bo fang liang 	播放量	c=2 d=1 t=117653
bo fang qi 	播放器	c=4 d=1 t=49474
bo hao 	拨号	c=11 d=1.98511 t=37130
bo ke 	博客	c=18 d=1 t=146926
bo ke 	播客	c=1 d=1 t=51166
bo ke yuan 	博客园	c=2 d=1 t=138210
bo kuan 	拨款	c=1 d=1 t=51561
bo lang hao 	波浪号	c=1 d=1 t=109487
bo li 	剥离	c=3 d=1 t=113158
bo li 	玻璃	c=4 d=1 t=66143
bo li men 	玻璃门	c=2 d=1.18637 t=55922
bo luo bao 	菠萝包	c=1 d=1 t=79426
bo pi 	剥皮	c=1 d=1 t=105607
bo shi sheng 	博士生	c=1 d=1 t=83758
bo si wen 	波斯文	c=1 d=1 t=112090
bo wu guan 	博物馆	c=1 d=1 t=56110
bo xue 	剥削	c=1 d=1 t=98417
bo ya 	伯牙	c=3 d=1 t=140992
bo yi bo 	搏一搏	c=1 d=1 t=48729
bo zhu 	博主	c=9 d=1.00013 t=117562
bo zi 	脖子	c=7 d=1 t=125639
bo zi shang 	脖子上	c=5 d=1 t=60461
bu 	不	c=696 d=1.90119 t=148898
bu 	布	c=3 d=1 t=49556
bu 	步	c=1 d=1 t=104733
bu 	补	c=57 d=1 t=147306
bu 	部	c=1 d=1 t=58787
bu ai 	不爱	c=3 d=1 t=148439
bu ai chu men 	不爱出门	c=0 d=0.1 t=29907
bu ai kan 	不爱看	c=1 d=1 t=136691
bu an quan 	不安全	c=1 d=1 t=146622
bu bao 	不包	c=1 d=1 t=117383
bu bei bu kang 	不卑不亢	c=1 d=1 t=17971
bu bi 	不必	c=2 d=1 t=114828
bu bian 	不变	c=2 d=1 t=69090
bu bu 	补补	c=1 d=1 t=70919
bu bu bu 	不不不	c=7 d=1 t=140875
bu cai 	不才	c=1 d=1 t=5916
bu cha 	不差	c=2 d=1 t=134719
bu cha qian 	不差钱	c=3 d=1 t=96549
bu chan 	不馋	c=1 d=1 t=16624
bu chang 	不长	c=1 d=1 t=46049
bu chang 	补偿	c=2 d=1 t=66751
bu chang yong 	不常用	c=3 d=1 t=142929
bu che 	不扯	c=1 d=1 t=8836
bu chi 	不吃	c=19 d=1 t=145793
bu chi 	不迟	c=1 d=1 t=84612
bu chi dong xi 	不吃东西	c=1 d=1 t=5223
bu chi fan 	不吃饭	c=1 d=1 t=34242
bu chi le 	不吃了	c=3 d=1 t=114952
bu chi yao 	不吃药	c=1 d=1 t=4752
bu chong 	不冲	c=2 d=1 t=111803
bu chong 	补充	c=7 d=1 t=146064
bu chong tu 	不冲突	c=1 d=1 t=70801
bu chu 	不出	c=1 d=1 t=73346
bu chu lai 	不出来	c=6 d=1 t=130076
bu chu men 	不出门	c=1 d=1 t=4680
bu chuan 	不穿	c=4 d=1 t=79177
bu cun 	不存	c=0 d=0.1 t=50301
bu cun zai 	不存在	c=1 d=1 t=42320
bu cuo 	不错	c=37 d=1.99501 t=137682
bu da 	不大	c=28 d=1 t=143453
bu da 	不打	c=2 d=1 t=86908
bu da suan 	不打算	c=1 d=0.1 t=88124
bu da wan 	不打完	c=1 d=1 t=49832
bu dai 	不带	c=7 d=1 t=146620
bu dai pa 	不带怕	c=1 d=1 t=17717
bu dao 	不到	c=40 d=1 t=138782
bu dao zhe 	布道者	c=2 d=1 t=117812
bu de 	不得	c=22 d=0.738852 t=148898
bu de jin 	不得进	c=1 d=1 t=49881
bu de liao 	不得了	c=4 d=1 t=134364
bu deng shi 	不等式	c=1 d=1 t=86614
bu deng yu 	不等于	c=2 d=1 t=86382
bu di 	不低	c=2 d=1 t=124839
bu di shui 	不滴水	c=0 d=0.1 t=50967
bu dian 	不点	c=1 d=1 t=43424
bu diao 	不掉	c=1 d=1 t=107212
bu ding 	补丁	c=10 d=1.93239 t=146062
bu ding qi 	不定期	c=1 d=1 t=87577
bu dong 	不动	c=2 d=0.491644 t=148898
bu dong 	不懂	c=22 d=1 t=137845
bu dong bu shui jiao 	不懂不睡觉	c=1 d=1 t=70130
bu dou 	不都	c=3 d=1 t=125521
bu dou ke yi 	不都可以	c=1 d=1 t=17040
bu dou shi 	不都是	c=9 d=1 t=146360
bu du 	不读	c=2 d=1 t=102022
bu duan 	不断	c=1 d=1 t=55343
bu duan 	不短	c=1 d=1 t=72805
bu dui 	不对	c=24 d=1 t=145686
bu duo 	不多	c=17 d=1 t=130501
bu e 	不饿	c=8 d=1 t=137183
bu fa xian 	不发现	c=1 d=1 t=35380
bu fang bian 	不方便	c=1 d=1 t=72637
bu fen 	不分	c=1 d=1 t=143507
bu fen 	部分	c=15 d=1.00122 t=144847
bu fu 	不服	c=1 d=1 t=73400
bu gai 	不改	c=3 d=1 t=148813
bu gai 	不该	c=2 d=1 t=142960
bu gai bian 	不改变	c=1 d=1 t=127533
bu gan 	不敢	c=15 d=1.99501 t=123300
bu gan kan 	不敢看	c=2 d=1 t=87147
bu gan le 	不干了	c=1 d=1 t=38827
bu gan ma 	不敢骂	c=1 d=1 t=107532
bu gan peng 	不敢碰	c=1 d=1 t=10897
bu gan xiang 	不敢想	c=1 d=1 t=30666
bu gan xing qu 	不感兴趣	c=1 d=1 t=113631
bu gan yong 	不敢用	c=1 d=1 t=142768
bu gao 	不搞	c=6 d=1.69073 t=83949
bu gao 	不高	c=5 d=1 t=128360
bu gao su 	不告诉	c=1 d=1 t=113638
bu gei 	不给	c=21 d=1.2487 t=129622
bu gei ge 	不给个	c=1 d=1 t=1529
bu gei qian 	不给钱	c=1 d=1 t=47343
bu gei wo 	不给我	c=2 d=1 t=120345
bu gen wo 	不跟我	c=1 d=1 t=65009
bu geng xin 	不更新	c=1 d=1 t=14875
bu gong zuo 	不工作	c=1 d=1 t=123164
bu gou 	不够	c=33 d=1 t=146398
bu gou chi 	不够吃	c=1 d=1 t=8389
bu gou duo 	不够多	c=1 d=1 t=137889
bu gua 	不挂	c=2 d=1.956 t=77800
bu guai 	不怪	c=2 d=1.99005 t=130425
bu guai ni 	不怪你	c=1 d=1 t=135759
bu guan 	不关	c=2 d=1 t=82221
bu guan 	不管	c=26 d=1 t=145407
bu guan la 	不管啦	c=3 d=1 t=98213
bu guan wo 	不管我	c=1 d=1 t=65555
bu guan zhu 	不关注	c=2 d=1 t=122037
bu guang 	不光	c=1 d=1 t=33350
bu gui 	不贵	c=2 d=1 t=119301
bu guo 	不过	c=105 d=0.156453 t=148898
bu guo fen 	不过分	c=6 d=1.99501 t=134986
bu guo guan 	不过关	c=1 d=1 t=1453
bu guo jie 	不过节	c=1 d=1 t=18369
bu guo ke yi 	不过可以	c=1 d=1 t=73678
bu guo lai 	不过来	c=3 d=1 t=43231
bu guo ru ci 	不过如此	c=1 d=1 t=97814
bu guo wen 	不过问	c=1 d=1 t=49662
bu guo yin 	不过瘾	c=1 d=1 t=63587
bu hai 	不还	c=0 d=0.1 t=29112
bu hai de 	不还得	c=1 d=1 t=29113
bu hao 	不好	c=65 d=1.00535 t=148060
bu hao ba 	不好吧	c=1 d=1 t=139323
bu hao chi 	不好吃	c=6 d=1 t=133424
bu hao da 	不好打	c=4 d=1 t=108612
bu hao gan 	不好干	c=1 d=1 t=72706
bu hao gao 	不好搞	c=1 d=1 t=64292
bu hao guo 	不好过	c=2 d=1 t=98998
bu hao he 	不好喝	c=1 d=1 t=105980
bu hao kai 	不好开	c=1 d=1 t=86096
bu hao kan 	不好看	c=6 d=1 t=143711
bu hao shuo 	不好说	c=10 d=1 t=120882
bu hao wan 	不好玩	c=4 d=1 t=135720
bu hao yi si 	不好意思	c=5 d=1 t=88010
bu hao yong 	不好用	c=4 d=1.956 t=103933
bu he 	不喝	c=6 d=1 t=148524
bu he le 	不喝了	c=3 d=1 t=145561
bu he li 	不合理	c=2 d=1.31063 t=148898
bu he ni 	不和你	c=1 d=1 t=34027
bu he wo shuo 	不和我说	c=1 d=1 t=10264
bu huan 	不换	c=2 d=1 t=102513
bu huan 	不还	c=4 d=1 t=134649
bu hui 	不会	c=193 d=1.28759 t=148898
bu hui ba 	不会吧	c=5 d=1 t=137075
bu hui ba 	不会把	c=-1 d=0 t=17377
bu hui bian 	不会变	c=1 d=1 t=145623
bu hui cuo 	不会错	c=1 d=1 t=101144
bu hui jiao 	不会叫	c=1 d=1 t=13243
bu hui lai 	不回来	c=1 d=1 t=39777
bu hui lai le 	不回来了	c=1 d=1 t=14508
bu hui wan 	不会玩	c=4 d=1 t=118691
bu hui xie 	不会写	c=1 d=1 t=134498
bu hui yi si 	不会意思	c=1 d=1 t=7891
bu huo 	捕获	c=11 d=1.18413 t=127647
bu ji 	不急	c=8 d=1 t=147551
bu ji 	补给	c=1 d=1 t=58656
bu ji de 	不记得	c=5 d=1 t=90867
bu ji de le 	不记得了	c=1 d=1 t=63582
bu jia 	不加	c=1 d=1 t=51906
bu jian 	不减	c=-6 d=0.980199 t=83712
bu jian 	不见	c=2 d=1 t=111668
bu jian kang 	不健康	c=2 d=1 t=114249
bu jian le 	不见了	c=1 d=1 t=20321
bu jian yi 	不建议	c=2 d=1 t=145991
bu jiang jiu 	不讲究	c=1 d=1 t=14952
bu jiang li 	不讲理	c=1 d=1 t=36129
bu jiao 	不交	c=1 d=1 t=10750
bu jiao 	不叫	c=1 d=1 t=111169
bu jiao 	补缴	c=2 d=1.96079 t=88843
bu jie yi 	不介意	c=2 d=1 t=81785
bu jin 	不近	c=1 d=1 t=136834
bu jin 	不进	c=3 d=1 t=134222
bu jin qu 	不进去	c=1 d=1 t=92078
bu jin zhang 	不紧张	c=1 d=1 t=10241
bu jiu 	不久	c=19 d=1 t=147739
bu jiu 	不就	c=2 d=1 t=100619
bu jiu 	补救	c=2 d=1 t=136341
bu jiu hao le 	不就好了	c=5 d=1 t=118646
bu jiu shi 	不就是	c=17 d=1 t=148536
bu jiu zhi dao 	不就知道	c=1 d=1 t=15853
bu ju 	布局	c=8 d=2.07463 t=131531
bu jue 	不觉	c=1 d=1 t=69070
bu jue de 	不觉得	c=2 d=1 t=133729
bu ka 	不卡	c=3 d=1 t=115906
bu kai 	不开	c=10 d=1 t=130562
bu kai men 	不开门	c=0 d=0.1 t=139553
bu kai xin 	不开心	c=1 d=1 t=132582
bu kan 	不看	c=16 d=1 t=140180
bu kan kan 	不看看	c=4 d=1 t=70307
bu kan wan 	不看完	c=1 d=1 t=28380
bu kao 	补考	c=1 d=1 t=46493
bu kao lv 	不考虑	c=3 d=1 t=55450
bu kao pu 	不靠谱	c=3 d=1 t=119979
bu ke 	补课	c=1 d=1 t=38424
bu ke kong 	不可控	c=3 d=1 t=132766
bu ke miao shu 	不可描述	c=2 d=1.63128 t=82655
bu ke neng 	不可能	c=35 d=1 t=148249
bu ke qi 	不客气	c=4 d=1 t=114991
bu ke si yi 	不可思议	c=1 d=1 t=134885
bu ke xin 	不可信	c=1 d=1 t=104738
bu ke yi 	不可以	c=6 d=1 t=124236
bu kong 	不空	c=1 d=1 t=109587
bu kuai 	不快	c=1 d=1 t=39032
bu kui 	不愧	c=1 d=1 t=26872
bu kun 	不困	c=6 d=1 t=146670
bu lai 	不来	c=7 d=1 t=148209
bu le bu le 	不了不了	c=1 d=1 t=11605
bu lei 	不累	c=1 d=1 t=30954
bu leng 	不冷	c=5 d=1 t=130347
bu leng bu re 	不冷不热	c=2 d=1 t=54185
bu li 	不理	c=1 d=1 t=104672
bu li hai 	不厉害	c=1 d=1 t=80406
bu li jie 	不理解	c=7 d=1.08563 t=136678
bu li ni 	不理你	c=3 d=1 t=123495
bu li pu 	不离谱	c=1 d=1 t=8135
bu li wo 	不理我	c=1 d=1 t=123280
bu liang 	不亮	c=1 d=1 t=54113
bu liao 	不了	c=34 d=1 t=142563
bu liao tian 	不聊天	c=1 d=1 t=31383
bu ling 	不灵	c=1 d=1 t=119405
bu luo fen 	布洛芬	c=6 d=1 t=60273
bu ma fan 	不麻烦	c=3 d=1 t=21554
bu mai 	不买	c=14 d=1 t=148154
bu man 	不满	c=1 d=1 t=144309
bu mang 	不忙	c=1 d=1 t=18094
bu men jian 	部门间	c=1 d=1 t=135916
bu ming bai 	不明白	c=1 d=1 t=106339
bu ming xian 	不明显	c=1 d=1 t=141348
bu na 	不拿	c=3 d=1 t=85369
bu nan 	不难	c=3 d=0.1 t=141510
bu nan bu nv 	不男不女	c=1 d=1 t=124721
bu nan da 	不难打	c=1 d=1 t=72865
bu nan yong 	不难用	c=1 d=1 t=141511
bu neng 	不能	c=131 d=0.514006 t=148898
bu neng chi 	不能吃	c=0 d=0.1 t=12869
bu neng li jie 	不能理解	c=1 d=1 t=60706
bu neng yong 	不能用	c=1 d=1 t=67765
bu nong 	不弄	c=7 d=1.956 t=139132
bu pa 	不怕	c=3 d=1 t=71039
bu peng 	不碰	c=2 d=1 t=134077
bu pian yi 	不便宜	c=1 d=1 t=147101
bu qi 	不起	c=1 d=0.1 t=102455
bu qi che 	不骑车	c=1 d=1 t=128517
bu qi lai 	不起来	c=2 d=1 t=100449
bu qiang 	不强	c=1 d=1 t=54341
bu qing 	不清	c=1 d=0.1 t=54850
bu qing chu 	不清楚	c=24 d=1 t=141786
bu qing chu ei 	不清楚诶	c=1 d=1 t=9131
bu qing wo 	不清我	c=1 d=1 t=54851
bu qu 	不去	c=13 d=1 t=133138
bu quan 	不全	c=2 d=1 t=131062
bu quan 	补全	c=16 d=1 t=144069
bu que kou 	补缺口	c=0 d=0.1 t=143016
bu que kou hao 	补缺口好	c=1 d=1 t=143017
bu que qian 	不缺钱	c=1 d=1 t=100178
bu ran 	不然	c=73 d=1.19178 t=148898
bu rang 	不让	c=15 d=1 t=108838
bu rang kan 	不让看	c=1 d=1 t=92238
bu re 	不热	c=0 d=0.1 t=22330
bu ren 	不忍	c=1 d=1 t=46250
bu ren shi 	不认识	c=1 d=1 t=2549
bu rong 	不容	c=1 d=1 t=63555
bu rong yi 	不容易	c=4 d=1 t=142170
bu rong yi si 	不容易死	c=1 d=1 t=98288
bu ru 	不如	c=25 d=1 t=146713
bu ru jing 	不入境	c=1 d=1 t=14129
bu ruo 	不弱	c=1 d=1 t=108060
bu sha 	不傻	c=1 d=1 t=13788
bu sha 	不杀	c=1 d=1 t=78826
bu shang 	不上	c=12 d=1 t=144637
bu shang ban 	不上班	c=4 d=1 t=95249
bu shang wang 	不上网	c=1 d=1 t=118418
bu shao 	不少	c=26 d=1 t=144638
bu shao qian 	不少钱	c=2 d=1 t=30901
bu shao ren 	不少人	c=1 d=1 t=6123
bu shen ru 	不深入	c=1 d=1 t=40929
bu shi 	不是	c=536 d=0.436482 t=148898
bu shi ba 	不是吧	c=1 d=1 t=77904
bu shi hao dai 	不识好歹	c=1 d=1 t=128276
bu shi he wo 	不适合我	c=1 d=1 t=40721
bu shi shuo 	不是说	c=0 d=0.1 t=138607
bu shi shuo hua 	不是说话	c=1 d=1 t=138608
bu shi ti shi 	不是提示	c=1 d=1 t=118647
bu shi yi ban 	不是一般	c=1 d=1 t=138491
bu shi ying 	不适应	c=1 d=1 t=28332
bu shi yong 	不使用	c=1 d=1 t=26340
bu shi yong 	不实用	c=1 d=1 t=43943
bu shi you 	不是有	c=1 d=0.26982 t=148898
bu shou 	不收	c=1 d=1 t=62829
bu shou 	捕手	c=1 d=1 t=143470
bu shu 	不输	c=1 d=1 t=126088
bu shu 	部署	c=18 d=1 t=147280
bu shu fu 	不舒服	c=9 d=1 t=117217
bu shu ru 	不输入	c=1 d=1 t=961
bu shu shi 	不舒适	c=2 d=1 t=130012
bu shua 	不刷	c=0 d=0.1 t=99761
bu shua yao 	不刷要	c=1 d=1 t=99762
bu shui 	不睡	c=10 d=1 t=126940
bu shui jiao 	不睡觉	c=1 d=0.1 t=70129
bu shui le 	不睡了	c=4 d=1 t=96986
bu shuo 	不说	c=16 d=1 t=143503
bu shuo hua 	不说话	c=2 d=1 t=112105
bu shuo le 	不说了	c=1 d=1 t=38816
bu si 	不死	c=4 d=1 t=63282
bu si niao 	不死鸟	c=1 d=1.09501 t=53154
bu suan 	不算	c=17 d=1.00018 t=147221
bu tai 	不太	c=46 d=1.19398 t=145915
bu tai ai kan 	不太爱看	c=1 d=1 t=133839
bu tai dong 	不太懂	c=2 d=1 t=74892
bu tai dui 	不太对	c=1 d=1 t=74174
bu tai dui jing 	不太对劲	c=1 d=1 t=43758
bu tai gan 	不太敢	c=1 d=1 t=134414
bu tai hao 	不太好	c=5 d=1 t=145801
bu tai hao yi si 	不太好意思	c=1 d=1 t=87325
bu tai hui 	不太会	c=2 d=1 t=119896
bu tai ke neng 	不太可能	c=3 d=1.00067 t=146966
bu tai ken 	不太肯	c=1 d=1 t=148471
bu tai qing chu 	不太清楚	c=1 d=1 t=30263
bu tai shu 	不太熟	c=1 d=1 t=79580
bu tai shu fu 	不太舒服	c=1 d=1 t=104224
bu tai xi guan 	不太习惯	c=2 d=0.123687 t=148898
bu tai xiang 	不太像	c=3 d=1 t=119744
bu tai xing 	不太行	c=18 d=1 t=146695
bu teng 	不疼	c=5 d=1 t=129669
bu tie 	补贴	c=1 d=1 t=55514
bu tong 	不同	c=34 d=1.99021 t=146408
bu tong 	不通	c=4 d=1.46533 t=122909
bu tong bu 	不同步	c=1 d=1 t=25417
bu tong chang 	不通畅	c=1 d=1 t=16774
bu tong dian 	不同店	c=1 d=1 t=87258
bu tong yi 	不同意	c=1 d=1 t=65065
bu tong yong 	不通用	c=1 d=1 t=11993
bu tui 	不退	c=1 d=1 t=4732
bu wan 	不完	c=11 d=1.99005 t=105354
bu wan 	不晚	c=1 d=1 t=126081
bu wan 	不玩	c=3 d=1 t=81272
bu wan le 	不玩了	c=4 d=1 t=104218
bu wan quan 	不完全	c=1 d=1 t=104147
bu wei 	补位	c=4 d=1 t=106350
bu wei 	部位	c=1 d=1 t=50754
bu wen 	不问	c=1 d=1 t=90353
bu wen ding 	不稳定	c=2 d=1 t=36393
bu wen le 	不问了	c=1 d=1 t=104619
bu wu zheng ye 	不务正业	c=1 d=1 t=76524
bu xi guan 	不习惯	c=4 d=1.00024 t=144931
bu xi huan 	不喜欢	c=8 d=1.00193 t=148428
bu xi wan 	不洗碗	c=1 d=1 t=137132
bu xia 	不下	c=2 d=1 t=28471
bu xia yu 	不下雨	c=1 d=1 t=44657
bu xian shi 	不显示	c=1 d=1 t=21272
bu xiang 	不像	c=33 d=0.748264 t=148898
bu xiang 	不想	c=4 d=1 t=105665
bu xiang 	不详	c=1 d=1 t=85729
bu xiang chi 	不想吃	c=3 d=1 t=117698
bu xiang ge 	不像个	c=1 d=1 t=104624
bu xiang peng 	不想碰	c=1 d=1 t=1319
bu xiang qu 	不想去	c=1 d=1 t=22018
bu xiang xie 	不想写	c=2 d=1.93239 t=139508
bu xiang zhuang 	不想装	c=1 d=1 t=134116
bu xiao 	不小	c=1 d=1 t=74093
bu xin 	不信	c=6 d=1 t=60248
bu xing 	不行	c=119 d=0.516381 t=148898
bu xing jie 	步行街	c=2 d=1 t=38808
bu xing jiu 	不行就	c=1 d=1 t=139274
bu xiu 	不朽	c=1 d=1 t=71305
bu xiu gang 	不锈钢	c=4 d=1 t=104055
bu xu yao 	不需要	c=27 d=1 t=146786
bu ya 	补牙	c=1 d=1 t=23732
bu ya teng 	不牙疼	c=1 d=1 t=29153
bu yan jin 	不严谨	c=1 d=1 t=110889
bu yao 	不要	c=45 d=1 t=148062
bu yao le 	不要了	c=2 d=1 t=35811
bu yao lian 	不要脸	c=0 d=0.1 t=140305
bu yao pa 	不要怕	c=1 d=1 t=22710
bu yao qian 	不要钱	c=5 d=1 t=119035
bu yao wan 	不要玩	c=0 d=0.1 t=11690
bu ye 	不也	c=2 d=1 t=53853
bu ye shi 	不也是	c=3 d=1 t=126112
bu yi ding 	不一定	c=45 d=1 t=146392
bu yi yang 	不一样	c=25 d=1 t=141600
bu yi zhi 	不一致	c=9 d=1 t=145386
bu yin ru 	不引入	c=1 d=1 t=41493
bu ying gai 	不应该	c=8 d=0.516851 t=148898
bu ying xiang 	不影响	c=2 d=1 t=66014
bu ying xiong 	不英雄	c=1 d=1 t=80788
bu yo ding 	不哟顶	c=1 d=1 t=144244
bu yong 	不用	c=182 d=0.1764 t=148898
bu yong bai bu yong 	不用白不用	c=1 d=1 t=100885
bu yong bu yong 	不用不用	c=1 d=1 t=14144
bu yong gan 	不勇敢	c=1 d=1 t=4290
bu yong ke qi 	不用客气	c=1 d=1 t=52019
bu yong le 	不用了	c=1 d=1 t=140623
bu yu 	捕鱼	c=1 d=1 t=81293
bu yu kuai 	不愉快	c=1 d=1 t=117064
bu yu ren ke 	不予认可	c=1 d=1 t=35561
bu yuan 	不愿	c=1 d=1 t=16618
bu yuan 	不远	c=1 d=1 t=16619
bu yuan yi 	不愿意	c=2 d=1 t=45302
bu yun xu 	不允许	c=1 d=1 t=83719
bu zai 	不再	c=-9 d=1.00012 t=65293
bu zai 	不在	c=6 d=1 t=148689
bu zai hu 	不在乎	c=1 d=1 t=28058
bu zai jia 	不在家	c=1 d=1 t=52691
bu zai yi 	不在意	c=1 d=1 t=112782
bu ze shou duan 	不择手段	c=1 d=1 t=90066
bu zen me 	不怎么	c=9 d=1 t=134495
bu zha shi 	不扎实	c=1 d=1 t=38855
bu zhang 	部长	c=2 d=1.92312 t=95677
bu zhao 	不找	c=0 d=0.1 t=95737
bu zhao ji 	不着急	c=1 d=1 t=82398
bu zhao wo 	不找我	c=1 d=1 t=95738
bu zhe teng 	不折腾	c=1 d=1 t=22104
bu zheng chang 	不正常	c=1 d=1 t=128344
bu zhi 	不止	c=9 d=1 t=135694
bu zhi 	布置	c=1 d=1 t=86987
bu zhi chi 	不支持	c=2 d=1 t=141603
bu zhi dao 	不知道	c=158 d=0.105399 t=148898
bu zhi qian 	不值钱	c=1 d=1 t=64163
bu zhi shi 	不只是	c=1 d=1 t=79664
bu zhi shi 	不知是	c=10 d=1.22202 t=136452
bu zhi yi ti 	不值一提	c=1 d=1 t=47826
bu zhi yu 	不至于	c=32 d=1 t=126170
bu zhong 	不中	c=1 d=1 t=124981
bu zhong yao 	不重要	c=1 d=1 t=78587
bu zhou 	步骤	c=2 d=1 t=139624
bu zhu 	不住	c=1 d=1 t=21425
bu zhu 	补助	c=3 d=1 t=117752
bu zhu jin 	补助金	c=1 d=1 t=48043
bu zhuan qian 	不赚钱	c=3 d=1 t=122266
bu zhuang 	不装	c=1 d=1 t=135367
bu zhun 	不准	c=2 d=0.1 t=145264
bu zou 	不走	c=2 d=1 t=93968
bu zu 	不足	c=1 d=1 t=106010
bu zu 	补足	c=1 d=1 t=115185
bu zuo 	不做	c=6 d=1 t=95623
bu zuo fan 	不做饭	c=1 d=1 t=9867
ca 	擦	c=28 d=1 t=148624
ca bian 	擦边	c=4 d=1.00001 t=64401
ca diao 	擦掉	c=1 d=1 t=102329
ca gan jing 	擦干净	c=1 d=1 t=29911
ca le 	擦了	c=1 d=1 t=57443
cai 	才	c=65 d=0.438235 t=148898
cai 	猜	c=7 d=1 t=133763
cai 	菜	c=54 d=1 t=146676
cai 	蔡	c=1 d=1 t=23641
cai 	裁	c=5 d=1 t=136016
cai 	踩	c=1 d=1 t=63010
cai bao 	菜包	c=1 d=1 t=126892
cai bi 	菜逼	c=3 d=1 t=107387
cai cai 	猜猜	c=1 d=1 t=98435
cai chang 	菜场	c=5 d=1 t=63441
cai dan 	菜单	c=3 d=1 t=138054
cai dao 	猜到	c=1 d=1 t=30953
cai dao le 	猜到了	c=1 d=1 t=9120
cai de 	猜的	c=1 d=1 t=51585
cai dui 	才对	c=8 d=1 t=134890
cai gou 	菜狗	c=4 d=1.34754 t=148310
cai guo qing 	蔡国庆	c=3 d=1.9802 t=27431
cai hao 	才好	c=0 d=0.1 t=71356
cai hao wan 	才好玩	c=2 d=1.90484 t=71377
cai hui 	才会	c=12 d=1 t=122510
cai ji 	菜鸡	c=5 d=1 t=138190
cai ji 	采集	c=1 d=1 t=69601
cai jian ya 	蔡健雅	c=1 d=1 t=34670
cai keng 	踩坑	c=2 d=1 t=134729
cai li 	彩礼	c=5 d=2.59016 t=85487
cai li 	财力	c=1 d=1 t=85190
cai liao 	材料	c=2 d=1 t=54941
cai liao fei 	材料费	c=1 d=1 t=8260
cai mei ban fa 	才没办法	c=1 d=1 t=48308
cai neng 	才能	c=27 d=1 t=137407
cai piao 	彩票	c=1 d=1 t=108705
cai qu 	才去	c=1 d=1 t=134377
cai rang 	才让	c=1 d=1 t=90464
cai ren 	裁人	c=1 d=1 t=87682
cai se 	彩色	c=2 d=1 t=110082
cai shi 	才是	c=27 d=1.15412 t=145192
cai shi chang 	菜市场	c=1 d=1 t=70631
cai shui 	财税	c=1 d=1 t=95001
cai shui jiao 	才睡觉	c=1 d=1 t=43016
cai wen ji 	蔡文姬	c=1 d=1 t=63698
cai wu 	财务	c=4 d=1 t=140571
cai xing 	才行	c=8 d=1 t=133940
cai you 	才有	c=2 d=1 t=81102
cai you yi si 	才有意思	c=2 d=1.22091 t=61171
cai you yong 	才有用	c=2 d=1 t=147757
cai yuan 	裁员	c=1 d=1 t=30537
can 	参	c=1 d=1 t=35291
can 	惨	c=2 d=1.99501 t=129316
can bian 	参编	c=0 d=0.1 t=75046
can bian gao 	参编搞	c=1 d=1 t=75047
can bian gui 	餐边柜	c=1 d=1 t=75048
can bu ren du 	惨不忍睹	c=1 d=1 t=118732
can guan 	参观	c=1 d=1 t=8877
can jia 	参加	c=3 d=1 t=85158
can kao 	参考	c=18 d=1 t=142664
can kao jia zhi 	参考价值	c=1 d=1 t=30291
can kao lian jie 	参考链接	c=1 d=1 t=2787
can ren 	残忍	c=2 d=1 t=75375
can sai 	参赛	c=1 d=1 t=50704
can shi 	蚕食	c=1 d=1 t=134696
can shu 	参数	c=24 d=1 t=146841
